"Показатель","ДЭБ","ДИБ","ДАФ","ДБПиО","Москва","Белгородская область","Брянская область","Владимирская область","Воронежская область","Ивановская область","Калужская область","Костромская область","Курская область","Липецкая область","Орловская область","Рязанская область","Смоленская область","Тамбовская область","Тверская область","Тульская область","Ярославская область","Санкт-Петербург","Вологодская область","Калининградская область","Мурманская область","Новгородская область","Псковская область","Республика Карелия","Республика Коми","Архангельская область","Кировская область","Оренбургская область","Самарская область","Саратовская область","Нижегородская область","Пензенская область","Пермский край","Республика Башкортостан","Республика Марий Эл","Республика Мордовия","Республика Татарстан","Удмуртская Республика","Ульяновская область","Чувашская Республика","Краснодар","Сочи","Новороссийск","Ростов","Ставрополь","Волгоград","Астрахань","Алания","Ингушетия","КБР","КЧР","Дагестан","Чечня","Свердловская область","ХМАО-Югра","Челябинская область","Тюменская область","Курган","ЯНАО","Новосибирская область","Омская область","Томская область","Алтайский край","Республика Алтай","Красноярский край","Кемеровская область","Республика Хакасия","Республика Тыва","Иркутская область","Хабаровский край","Приморский край","Амурская область","Магаданская область","Республика Саха (Якутия)","Камчатский край","Сахалинская область","Забайкальский край","Республика Бурятия","Итого ПАО МТС"
"Снижена стоимость товаров, работ и услуг на сумму (руб.)",33,44,55,66,77,88,2,13,24,35,46,57,68,79,90,4,15,26,37,48,59,70,81,92,6,17,28,39,50,61,72,83,94,8,19,30,41,52,63,74,85,96,10,21,32,43,54,65,76,87,1,12,23,34,45,56,67,78,89,3,14,25,36,47,58,69,80,91,5,16,27,38,49,60,71,82,93,7,18,29,40,51,3929
"Предотвращено фактов необоснованного списания ДЗ на сумму (руб.)",36,48,60,72,84,96,11,23,35,47,59,71,83,95,10,22,34,46,58,70,82,94,9,21,33,45,57,69,81,93,8,20,32,44,56,68,80,92,7,19,31,43,55,67,79,91,6,18,30,42,54,66,78,90,5,17,29,41,53,65,77,89,4,16,28,40,52,64,76,88,3,15,27,39,51,63,75,87,2,14,26,38,4004
"Содействие в получении документов для возмещения НДС (руб.)",39,52,65,78,91,7,20,33,46,59,72,85,1,14,27,40,53,66,79,92,8,21,34,47,60,73,86,2,15,28,41,54,67,80,93,9,22,35,48,61,74,87,3,16,29,42,55,68,81,94,10,23,36,49,62,75,88,4,17,30,43,56,69,82,95,11,24,37,50,63,76,89,5,18,31,44,57,70,83,96,12,25,3982
"Установлено виновных лиц",42,56,70,84,1,15,29,43,57,71,85,2,16,30,44,58,72,86,3,17,31,45,59,73,87,4,18,32,46,60,74,88,5,19,33,47,61,75,89,6,20,34,48,62,76,90,7,21,35,49,63,77,91,8,22,36,50,64,78,92,9,23,37,51,65,79,93,10,24,38,52,66,80,94,11,25,39,53,67,81,95,12,3960
"Принято мер к виновным лицам",45,60,75,90,8,23,38,53,68,83,1,16,31,46,61,76,91,9,24,39,54,69,84,2,17,32,47,62,77,92,10,25,40,55,70,85,3,18,33,48,63,78,93,11,26,41,56,71,86,4,19,34,49,64,79,94,12,27,42,57,72,87,5,20,35,50,65,80,95,13,28,43,58,73,88,6,21,36,51,66,81,96,4035
"Предупреждение предупредительным письмом по РП-398",48,64,80,96,15,31,47,63,79,95,14,30,46,62,78,94,13,29,45,61,77,93,12,28,44,60,76,92,11,27,43,59,75,91,10,26,42,58,74,90,9,25,41,57,73,89,8,24,40,56,72,88,7,23,39,55,71,87,6,22,38,54,70,86,5,21,37,53,69,85,4,20,36,52,68,84,3,19,35,51,67,83,4110
"Замечание",51,68,85,5,22,39,56,73,90,10,27,44,61,78,95,15,32,49,66,83,3,20,37,54,71,88,8,25,42,59,76,93,13,30,47,64,81,1,18,35,52,69,86,6,23,40,57,74,91,11,28,45,62,79,96,16,33,50,67,84,4,21,38,55,72,89,9,26,43,60,77,94,14,31,48,65,82,2,19,36,53,70,3991
"Выговор",54,72,90,11,29,47,65,83,4,22,40,58,76,94,15,33,51,69,87,8,26,44,62,80,1,19,37,55,73,91,12,30,48,66,84,5,23,41,59,77,95,16,34,52,70,88,9,27,45,63,81,2,20,38,56,74,92,13,31,49,67,85,6,24,42,60,78,96,17,35,53,71,89,10,28,46,64,82,3,21,39,57,3969
"Уволено",57,76,95,17,36,55,74,93,15,34,53,72,91,13,32,51,70,89,11,30,49,68,87,9,28,47,66,85,7,26,45,64,83,5,24,43,62,81,3,22,41,60,79,1,20,39,58,77,96,18,37,56,75,94,16,35,54,73,92,14,33,52,71,90,12,31,50,69,88,10,29,48,67,86,8,27,46,65,84,6,25,44,4044
"Передано материалов в ПОО для возбуждения АД/УД",60,80,3,23,43,63,83,6,26,46,66,86,9,29,49,69,89,12,32,52,72,92,15,35,55,75,95,18,38,58,78,1,21,41,61,81,4,24,44,64,84,7,27,47,67,87,10,30,50,70,90,13,33,53,73,93,16,36,56,76,96,19,39,59,79,2,22,42,62,82,5,25,45,65,85,8,28,48,68,88,11,31,3925
"из них отказано в возбуждении административных/уголовных дел",63,84,8,29,50,71,92,16,37,58,79,3,24,45,66,87,11,32,53,74,95,19,40,61,82,6,27,48,69,90,14,35,56,77,1,22,43,64,85,9,30,51,72,93,17,38,59,80,4,25,46,67,88,12,33,54,75,96,20,41,62,83,7,28,49,70,91,15,36,57,78,2,23,44,65,86,10,31,52,73,94,18,4000
"Возбуждено административных/уголовных дел",66,88,13,35,57,79,4,26,48,70,92,17,39,61,83,8,30,52,74,96,21,43,65,87,12,34,56,78,3,25,47,69,91,16,38,60,82,7,29,51,73,95,20,42,64,86,11,33,55,77,2,24,46,68,90,15,37,59,81,6,28,50,72,94,19,41,63,85,10,32,54,76,1,23,45,67,89,14,36,58,80,5,3978
"из них окончено АД/УД (приговор/решение суда)",69,92,18,41,64,87,13,36,59,82,8,31,54,77,3,26,49,72,95,21,44,67,90,16,39,62,85,11,34,57,80,6,29,52,75,1,24,47,70,93,19,42,65,88,14,37,60,83,9,32,55,78,4,27,50,73,96,22,45,68,91,17,40,63,86,12,35,58,81,7,30,53,76,2,25,48,71,94,20,43,66,89,4053
"Общий размер дебиторской задолженности (руб.)",72,96,23,47,71,95,22,46,70,94,21,45,69,93,20,44,68,92,19,43,67,91,18,42,66,90,17,41,65,89,16,40,64,88,15,39,63,87,14,38,62,86,13,37,61,85,12,36,60,84,11,35,59,83,10,34,58,82,9,33,57,81,8,32,56,80,7,31,55,79,6,30,54,78,5,29,53,77,4,28,52,76,4128
"Общий размер просроченной дебиторской задолженности (руб.)",75,3,28,53,78,6,31,56,81,9,34,59,84,12,37,62,87,15,40,65,90,18,43,68,93,21,46,71,96,24,49,74,2,27,52,77,5,30,55,80,8,33,58,83,11,36,61,86,14,39,64,89,17,42,67,92,20,45,70,95,23,48,73,1,26,51,76,4,29,54,79,7,32,57,82,10,35,60,85,13,38,63,3912
"в том числе размер ПДЗ, переданный в работу СБ (руб.)",78,7,33,59,85,14,40,66,92,21,47,73,2,28,54,80,9,35,61,87,16,42,68,94,23,49,75,4,30,56,82,11,37,63,89,18,44,70,96,25,51,77,6,32,58,84,13,39,65,91,20,46,72,1,27,53,79,8,34,60,86,15,41,67,93,22,48,74,3,29,55,81,10,36,62,88,17,43,69,95,24,50,3987
"Взыскано ДЗ при участии подразделений безопасности (руб.)",81,11,38,65,92,22,49,76,6,33,60,87,17,44,71,1,28,55,82,12,39,66,93,23,50,77,7,34,61,88,18,45,72,2,29,56,83,13,40,67,94,24,51,78,8,35,62,89,19,46,73,3,30,57,84,14,41,68,95,25,52,79,9,36,63,90,20,47,74,4,31,58,85,15,42,69,96,26,53,80,10,37,3965
"Общая сумма доступного к возмещению, но не возмещенного НДС (руб.)",84,15,43,71,2,30,58,86,17,45,73,4,32,60,88,19,47,75,6,34,62,90,21,49,77,8,36,64,92,23,51,79,10,38,66,94,25,53,81,12,40,68,96,27,55,83,14,42,70,1,29,57,85,16,44,72,3,31,59,87,18,46,74,5,33,61,89,20,48,76,7,35,63,91,22,50,78,9,37,65,93,24,3943
"Общий размер списанной дебиторской задолженности (руб.)",87,19,48,77,9,38,67,96,28,57,86,18,47,76,8,37,66,95,27,56,85,17,46,75,7,36,65,94,26,55,84,16,45,74,6,35,64,93,25,54,83,15,44,73,5,34,63,92,24,53,82,14,43,72,4,33,62,91,23,52,81,13,42,71,3,32,61,90,22,51,80,12,41,70,2,31,60,89,21,50,79,11,4018
"Проверено юр. и физ.лиц перед заключением новых договоров, доп.соглашений и ОВП",90,23,53,83,16,46,76,9,39,69,2,32,62,92,25,55,85,18,48,78,11,41,71,4,34,64,94,27,57,87,20,50,80,13,43,73,6,36,66,96,29,59,89,22,52,82,15,45,75,8,38,68,1,31,61,91,24,54,84,17,47,77,10,40,70,3,33,63,93,26,56,86,19,49,79,12,42,72,5,35,65,95,3996
"из них дано отрицательных заключений по потенциальным контрагентам",93,27,58,89,23,54,85,19,50,81,15,46,77,11,42,73,7,38,69,3,34,65,96,30,61,92,26,57,88,22,53,84,18,49,80,14,45,76,10,41,72,6,37,68,2,33,64,95,29,60,91,25,56,87,21,52,83,17,48,79,13,44,75,9,40,71,5,36,67,1,32,63,94,28,59,90,24,55,86,20,51,82,4071
"Проверено контрагентов с действующими договорами",96,31,63,95,30,62,94,29,61,93,28,60,92,27,59,91,26,58,90,25,57,89,24,56,88,23,55,87,22,54,86,21,53,85,20,52,84,19,51,83,18,50,82,17,49,81,16,48,80,15,47,79,14,46,78,13,45,77,12,44,76,11,43,75,10,42,74,9,41,73,8,40,72,7,39,71,6,38,70,5,37,69,4146
"из них дано отрицательных заключений по контрагентам",2,35,68,4,37,70,6,39,72,8,41,74,10,43,76,12,45,78,14,47,80,16,49,82,18,51,84,20,53,86,22,55,88,24,57,90,26,59,92,28,61,94,30,63,96,32,65,1,34,67,3,36,69,5,38,71,7,40,73,9,42,75,11,44,77,13,46,79,15,48,81,17,50,83,19,52,85,21,54,87,23,56,3833
"Проверено проектов договоров. доп. соглашений, заказов и ОВП",5,39,73,10,44,78,15,49,83,20,54,88,25,59,93,30,64,1,35,69,6,40,74,11,45,79,16,50,84,21,55,89,26,60,94,31,65,2,36,70,7,41,75,12,46,80,17,51,85,22,56,90,27,61,95,32,66,3,37,71,8,42,76,13,47,81,18,52,86,23,57,91,28,62,96,33,67,4,38,72,9,43,3908
"из них не согласовано",8,43,78,16,51,86,24,59,94,32,67,5,40,75,13,48,83,21,56,91,29,64,2,37,72,10,45,80,18,53,88,26,61,96,34,69,7,42,77,15,50,85,23,58,93,31,66,4,39,74,12,47,82,20,55,90,28,63,1,36,71,9,44,79,17,52,87,25,60,95,33,68,6,41,76,14,49,84,22,57,92,30,3983
"Проверено действующих договоров, доп. соглашений и заказов",11,47,83,22,58,94,33,69,8,44,80,19,55,91,30,66,5,41,77,16,52,88,27,63,2,38,74,13,49,85,24,60,96,35,71,10,46,82,21,57,93,32,68,7,43,79,18,54,90,29,65,4,40,76,15,51,87,26,62,1,37,73,12,48,84,23,59,95,34,70,9,45,81,20,56,92,31,67,6,42,78,17,3961
"из них не согласовано",14,51,88,28,65,5,42,79,19,56,93,33,70,10,47,84,24,61,1,38,75,15,52,89,29,66,6,43,80,20,57,94,34,71,11,48,85,25,62,2,39,76,16,53,90,30,67,7,44,81,21,58,95,35,72,12,49,86,26,63,3,40,77,17,54,91,31,68,8,45,82,22,59,96,36,73,13,50,87,27,64,4,3939
"Сумма запланированного бюджета закупок на год (руб.)",17,55,93,34,72,13,51,89,30,68,9,47,85,26,64,5,43,81,22,60,1,39,77,18,56,94,35,73,14,52,90,31,69,10,48,86,27,65,6,44,82,23,61,2,40,78,19,57,95,36,74,15,53,91,32,70,11,49,87,28,66,7,45,83,24,62,3,41,79,20,58,96,37,75,16,54,92,33,71,12,50,88,4014
"Проведено закупочных процедур (кол-во)",20,59,1,40,79,21,60,2,41,80,22,61,3,42,81,23,62,4,43,82,24,63,5,44,83,25,64,6,45,84,26,65,7,46,85,27,66,8,47,86,28,67,9,48,87,29,68,10,49,88,30,69,11,50,89,31,70,12,51,90,32,71,13,52,91,33,72,14,53,92,34,73,15,54,93,35,74,16,55,94,36,75,3895
"из них использован способ закупки ""единственный источник"" (кол-во)",23,63,6,46,86,29,69,12,52,92,35,75,18,58,1,41,81,24,64,7,47,87,30,70,13,53,93,36,76,19,59,2,42,82,25,65,8,48,88,31,71,14,54,94,37,77,20,60,3,43,83,26,66,9,49,89,32,72,15,55,95,38,78,21,61,4,44,84,27,67,10,50,90,33,73,16,56,96,39,79,22,62,3970
"Проведено закупочных процедур на сумму (руб.)",26,67,11,52,93,37,78,22,63,7,48,89,33,74,18,59,3,44,85,29,70,14,55,96,40,81,25,66,10,51,92,36,77,21,62,6,47,88,32,73,17,58,2,43,84,28,69,13,54,95,39,80,24,65,9,50,91,35,76,20,61,5,46,87,31,72,16,57,1,42,83,27,68,12,53,94,38,79,23,64,8,49,3948
"из них использован способ закупки ""единственный источник"" на сумму (руб.)",29,71,16,58,3,45,87,32,74,19,61,6,48,90,35,77,22,64,9,51,93,38,80,25,67,12,54,96,41,83,28,70,15,57,2,44,86,31,73,18,60,5,47,89,34,76,21,63,8,50,92,37,79,24,66,11,53,95,40,82,27,69,14,56,1,43,85,30,72,17,59,4,46,88,33,75,20,62,7,49,91,36,3926
"Проверено сотрудников на их возможную аффилированность с контрагентами (чел.)",32,75,21,64,10,53,96,42,85,31,74,20,63,9,52,95,41,84,30,73,19,62,8,51,94,40,83,29,72,18,61,7,50,93,39,82,28,71,17,60,6,49,92,38,81,27,70,16,59,5,48,91,37,80,26,69,15,58,4,47,90,36,79,25,68,14,57,3,46,89,35,78,24,67,13,56,2,45,88,34,77,23,4001
"из них выявлено аффилированных лиц",35,79,26,70,17,61,8,52,96,43,87,34,78,25,69,16,60,7,51,95,42,86,33,77,24,68,15,59,6,50,94,41,85,32,76,23,67,14,58,5,49,93,40,84,31,75,22,66,13,57,4,48,92,39,83,30,74,21,65,12,56,3,47,91,38,82,29,73,20,64,11,55,2,46,90,37,81,28,72,19,63,10,3979
"Проверено кандидатов на трудоустройство (чел.)",38,83,31,76,24,69,17,62,10,55,3,48,93,41,86,34,79,27,72,20,65,13,58,6,51,96,44,89,37,82,30,75,23,68,16,61,9,54,2,47,92,40,85,33,78,26,71,19,64,12,57,5,50,95,43,88,36,81,29,74,22,67,15,60,8,53,1,46,91,39,84,32,77,25,70,18,63,11,56,4,49,94,3957
"из них отклонено",41,87,36,82,31,77,26,72,21,67,16,62,11,57,6,52,1,47,93,42,88,37,83,32,78,27,73,22,68,17,63,12,58,7,53,2,48,94,43,89,38,84,33,79,28,74,23,69,18,64,13,59,8,54,3,49,95,44,90,39,85,34,80,29,75,24,70,19,65,14,60,9,55,4,50,96,45,91,40,86,35,81,4032
"из них отклонено по причине аффилированности",44,91,41,88,38,85,35,82,32,79,29,76,26,73,23,70,20,67,17,64,14,61,11,58,8,55,5,52,2,49,96,46,93,43,90,40,87,37,84,34,81,31,78,28,75,25,72,22,69,19,66,16,63,13,60,10,57,7,54,4,51,1,48,95,45,92,42,89,39,86,36,83,33,80,30,77,27,74,24,71,21,68,4107
"Проверено обращений граждан и юр. Лиц",47,95,46,94,45,93,44,92,43,91,42,90,41,89,40,88,39,87,38,86,37,85,36,84,35,83,34,82,33,81,32,80,31,79,30,78,29,77,28,76,27,75,26,74,25,73,24,72,23,71,22,70,21,69,20,68,19,67,18,66,17,65,16,64,15,63,14,62,13,61,12,60,11,59,10,58,9,57,8,56,7,55,4182
"Проверено заявлений абонентов о непричастности к договору (ЗОН)",50,2,51,3,52,4,53,5,54,6,55,7,56,8,57,9,58,10,59,11,60,12,61,13,62,14,63,15,64,16,65,17,66,18,67,19,68,20,69,21,70,22,71,23,72,24,73,25,74,26,75,27,76,28,77,29,78,30,79,31,80,32,81,33,82,34,83,35,84,36,85,37,86,38,87,39,88,40,89,41,90,42,3772
"из них выявлено фиктивных договоров",53,6,56,9,59,12,62,15,65,18,68,21,71,24,74,27,77,30,80,33,83,36,86,39,89,42,92,45,95,48,1,51,4,54,7,57,10,60,13,63,16,66,19,69,22,72,25,75,28,78,31,81,34,84,37,87,40,90,43,93,46,96,49,2,52,5,55,8,58,11,61,14,64,17,67,20,70,23,73,26,76,29,3847
"Проверено заявлений абонентов о расторжении договора и возврате ДС",56,10,61,15,66,20,71,25,76,30,81,35,86,40,91,45,96,50,4,55,9,60,14,65,19,70,24,75,29,80,34,85,39,90,44,95,49,3,54,8,59,13,64,18,69,23,74,28,79,33,84,38,89,43,94,48,2,53,7,58,12,63,17,68,22,73,27,78,32,83,37,88,42,93,47,1,52,6,57,11,62,16,3922
"Проверено запросов на переоформление ""красивых"" номеров",59,14,66,21,73,28,80,35,87,42,94,49,4,56,11,63,18,70,25,77,32,84,39,91,46,1,53,8,60,15,67,22,74,29,81,36,88,43,95,50,5,57,12,64,19,71,26,78,33,85,40,92,47,2,54,9,61,16,68,23,75,30,82,37,89,44,96,51,6,58,13,65,20,72,27,79,34,86,41,93,48,3,3997
"Проверено заявлений о неправомерной замене SIM-карт с последующим выводом ДС",62,18,71,27,80,36,89,45,1,54,10,63,19,72,28,81,37,90,46,2,55,11,64,20,73,29,82,38,91,47,3,56,12,65,21,74,30,83,39,92,48,4,57,13,66,22,75,31,84,40,93,49,5,58,14,67,23,76,32,85,41,94,50,6,59,15,68,24,77,33,86,42,95,51,7,60,16,69,25,78,34,87,3975
"Проверено заявлений абонентов о возврате ошибочного платежа",65,22,76,33,87,44,1,55,12,66,23,77,34,88,45,2,56,13,67,24,78,35,89,46,3,57,14,68,25,79,36,90,47,4,58,15,69,26,80,37,91,48,5,59,16,70,27,81,38,92,49,6,60,17,71,28,82,39,93,50,7,61,18,72,29,83,40,94,51,8,62,19,73,30,84,41,95,52,9,63,20,74,3953
"Проверено прочих заявлений абонентов",68,26,81,39,94,52,10,65,23,78,36,91,49,7,62,20,75,33,88,46,4,59,17,72,30,85,43,1,56,14,69,27,82,40,95,53,11,66,24,79,37,92,50,8,63,21,76,34,89,47,5,60,18,73,31,86,44,2,57,15,70,28,83,41,96,54,12,67,25,80,38,93,51,9,64,22,77,35,90,48,6,61,4028
"Поступило входящих бумажных запросов ПОО на предоставление информации",71,30,86,45,4,60,19,75,34,90,49,8,64,23,79,38,94,53,12,68,27,83,42,1,57,16,72,31,87,46,5,61,20,76,35,91,50,9,65,24,80,39,95,54,13,69,28,84,43,2,58,17,73,32,88,47,6,62,21,77,36,92,51,10,66,25,81,40,96,55,14,70,29,85,44,3,59,18,74,33,89,48,4006
"Исполнено бумажных запросов ПОО на предоставление информации",74,34,91,51,11,68,28,85,45,5,62,22,79,39,96,56,16,73,33,90,50,10,67,27,84,44,4,61,21,78,38,95,55,15,72,32,89,49,9,66,26,83,43,3,60,20,77,37,94,54,14,71,31,88,48,8,65,25,82,42,2,59,19,76,36,93,53,13,70,30,87,47,7,64,24,81,41,1,58,18,75,35,3984
"Исполнено заданий в бумажных запросах ПОО на предоставление информации",77,38,96,57,18,76,37,95,56,17,75,36,94,55,16,74,35,93,54,15,73,34,92,53,14,72,33,91,52,13,71,32,90,51,12,70,31,89,50,11,69,30,88,49,10,68,29,87,48,9,67,28,86,47,8,66,27,85,46,7,65,26,84,45,6,64,25,83,44,5,63,24,82,43,4,62,23,81,42,3,61,22,4059
"Поступило представлений правоохранительных органов, прокуратуры и суда",80,42,4,63,25,84,46,8,67,29,88,50,12,71,33,92,54,16,75,37,96,58,20,79,41,3,62,24,83,45,7,66,28,87,49,11,70,32,91,53,15,74,36,95,57,19,78,40,2,61,23,82,44,6,65,27,86,48,10,69,31,90,52,14,73,35,94,56,18,77,39,1,60,22,81,43,5,64,26,85,47,9,3940
"из них исполнено (подготовлен ответ)",83,46,9,69,32,92,55,18,78,41,4,64,27,87,50,13,73,36,96,59,22,82,45,8,68,31,91,54,17,77,40,3,63,26,86,49,12,72,35,95,58,21,81,44,7,67,30,90,53,16,76,39,2,62,25,85,48,11,71,34,94,57,20,80,43,6,66,29,89,52,15,75,38,1,61,24,84,47,10,70,33,93,4015
"Штатное количество сотрудников безопасности (включая филиалы и ДЗО)",86,50,14,75,39,3,64,28,89,53,17,78,42,6,67,31,92,56,20,81,45,9,70,34,95,59,23,84,48,12,73,37,1,62,26,87,51,15,76,40,4,65,29,90,54,18,79,43,7,68,32,93,57,21,82,46,10,71,35,96,60,24,85,49,13,74,38,2,63,27,88,52,16,77,41,5,66,30,91,55,19,80,3993
"Количество объектов",89,54,19,81,46,11,73,38,3,65,30,92,57,22,84,49,14,76,41,6,68,33,95,60,25,87,52,17,79,44,9,71,36,1,63,28,90,55,20,82,47,12,74,39,4,66,31,93,58,23,85,50,15,77,42,7,69,34,96,61,26,88,53,18,80,45,10,72,37,2,64,29,91,56,21,83,48,13,75,40,5,67,3971
"под физической охраной",92,58,24,87,53,19,82,48,14,77,43,9,72,38,4,67,33,96,62,28,91,57,23,86,52,18,81,47,13,76,42,8,71,37,3,66,32,95,61,27,90,56,22,85,51,17,80,46,12,75,41,7,70,36,2,65,31,94,60,26,89,55,21,84,50,16,79,45,11,74,40,6,69,35,1,64,30,93,59,25,88,54,4046
"под пультовой охраной",95,62,29,93,60,27,91,58,25,89,56,23,87,54,21,85,52,19,83,50,17,81,48,15,79,46,13,77,44,11,75,42,9,73,40,7,71,38,5,69,36,3,67,34,1,65,32,96,63,30,94,61,28,92,59,26,90,57,24,88,55,22,86,53,20,84,51,18,82,49,16,80,47,14,78,45,12,76,43,10,74,41,4121
"CAPEX Сумма выделенного бюджета на год (руб.)",1,66,34,2,67,35,3,68,36,4,69,37,5,70,38,6,71,39,7,72,40,8,73,41,9,74,42,10,75,43,11,76,44,12,77,45,13,78,46,14,79,47,15,80,48,16,81,49,17,82,50,18,83,51,19,84,52,20,85,53,21,86,54,22,87,55,23,88,56,24,89,57,25,90,58,26,91,59,27,92,60,28,3808
"Сумма освоения бюджета в текущем месяце (руб.)",4,70,39,8,74,43,12,78,47,16,82,51,20,86,55,24,90,59,28,94,63,32,1,67,36,5,71,40,9,75,44,13,79,48,17,83,52,21,87,56,25,91,60,29,95,64,33,2,68,37,6,72,41,10,76,45,14,80,49,18,84,53,22,88,57,26,92,61,30,96,65,34,3,69,38,7,73,42,11,77,46,15,3883
"Бюджет на физ. охрану (OPEX)",7,74,44,14,81,51,21,88,58,28,95,65,35,5,72,42,12,79,49,19,86,56,26,93,63,33,3,70,40,10,77,47,17,84,54,24,91,61,31,1,68,38,8,75,45,15,82,52,22,89,59,29,96,66,36,6,73,43,13,80,50,20,87,57,27,94,64,34,4,71,41,11,78,48,18,85,55,25,92,62,32,2,3958
"Проведено проверок состояния АТЗ объектов",10,78,49,20,88,59,30,1,69,40,11,79,50,21,89,60,31,2,70,41,12,80,51,22,90,61,32,3,71,42,13,81,52,23,91,62,33,4,72,43,14,82,53,24,92,63,34,5,73,44,15,83,54,25,93,64,35,6,74,45,16,84,55,26,94,65,36,7,75,46,17,85,56,27,95,66,37,8,76,47,18,86,3936
